district_id,district_name,state,coverage_ratio,coverage_score,total_demographic_updates,churn_rate,update_spike_detected,demographic_volatility,spike_flag,avg_biometric_age_days,biometric_freshness_score,biometric_failure_rate,child_refresh_gap_months,anomaly_detected,biometric_age_score,child_vulnerability_score,anomaly_score,anomaly_score_anomaly,spike_count,uls_score,risk_classification,auth_failure_probability
D0001,Anantapur,Andhra Pradesh,0.8937,89.37,511501,0.2804,True,28.04,1,1965,21.4,0.1254,37,False,21.400000000000006,61.66666666666667,0,45.18631882230285,2,63.71,Watchlist,4.55
D0002,Chittoor,Andhra Pradesh,0.9062,90.62,30141,0.0921,False,9.21,0,1497,40.12,0.1011,18,False,40.12,30.0,0,10.117523353177187,0,76.33,Stable,2.39
D0003,East Godavari,Andhra Pradesh,0.823,82.3,89799,0.2184,False,21.84,0,1154,53.84,0.0695,45,False,53.84,75.0,0,9.799755274921292,0,68.62,Watchlist,2.18
D0004,Guntur,Andhra Pradesh,0.7612,76.12,201966,0.298,False,29.799999999999997,0,1828,26.88,0.0686,45,False,26.879999999999995,75.0,0,24.358229230472595,1,58.84,Watchlist,2.82
D0005,Krishna,Andhra Pradesh,0.986,98.6,48184,0.1222,False,12.22,0,1950,22.0,0.0944,42,False,22.0,70.0,0,29.192088964547356,1,67.75,Watchlist,3.04
D0006,Kurnool,Andhra Pradesh,0.9818,98.18,249023,0.2832,False,28.32,0,2044,18.24,0.0381,42,False,18.239999999999995,70.0,0,7.551666754691827,0,64.27,Watchlist,1.36
D0007,Nellore,Andhra Pradesh,0.914,91.4,142791,0.1559,False,15.590000000000002,0,1811,27.56,0.1324,41,False,27.560000000000002,68.33333333333333,0,9.96353126638559,0,66.72,Watchlist,4.41
D0008,Prakasam,Andhra Pradesh,0.7999,79.99000000000001,163493,0.2345,False,23.45,0,376,84.96,0.1164,26,False,84.96000000000001,43.333333333333336,0,5.749813921732041,0,80.22,Stable,2.3
D0009,Srikakulam,Andhra Pradesh,0.9724,97.24000000000001,166962,0.2807,False,28.07,0,1863,25.48,0.1581,52,False,25.480000000000004,86.66666666666667,0,4.312510327679356,0,63.33,Watchlist,5.8
D0010,Visakhapatnam,Andhra Pradesh,0.8281,82.80999999999999,43572,0.2298,False,22.98,0,899,64.04,0.0577,39,False,64.03999999999999,65.0,0,8.76688723484719,0,72.66,Stable,1.58
D0011,Vizianagaram,Andhra Pradesh,0.7838,78.38000000000001,180105,0.2059,False,20.59,0,710,71.6,0.1293,21,False,71.6,35.0,0,7.157083997546378,0,78.08,Stable,2.83
D0012,West Godavari,Andhra Pradesh,0.9457,94.57,13008,0.0617,False,6.17,0,1952,21.92,0.2023,37,False,21.92,61.66666666666667,0,11.691483907709637,0,68.68,Watchlist,6.34
D0013,YSR Kadapa,Andhra Pradesh,0.7778,77.78,42247,0.1543,False,15.43,0,1645,34.2,0.0436,43,False,34.2,71.66666666666667,0,27.66311793661295,1,63.82,Watchlist,1.58
D0014,Anjaw,Arunachal Pradesh,0.9105,91.05,21586,0.0626,False,6.260000000000001,0,2329,6.84,0.2938,59,False,6.840000000000003,98.33333333333333,0,33.603365511702066,2,58.34,Watchlist,12.24
D0015,Changlang,Arunachal Pradesh,0.7787,77.86999999999999,26662,0.1367,False,13.669999999999998,0,811,67.56,0.101,37,False,67.56,61.66666666666667,0,41.30006206339922,2,73.95,Stable,2.63
D0016,East Kameng,Arunachal Pradesh,0.8554,85.54,118314,0.2958,False,29.580000000000002,0,1084,56.64,0.1638,48,False,56.64,80.0,0,6.242939648622912,0,68.39,Watchlist,5.18
D0017,East Siang,Arunachal Pradesh,0.9678,96.78,141449,0.2656,False,26.56,0,1616,35.36,0.2237,29,False,35.36,48.333333333333336,0,6.823469741939192,0,71.64,Stable,6.34
D0018,Itanagar,Arunachal Pradesh,0.8937,89.37,171474,0.181,False,18.099999999999998,0,901,63.96,0.0689,23,False,63.96,38.333333333333336,0,40.922245986681304,2,79.34,Stable,1.42
D0019,Kurung Kumey,Arunachal Pradesh,0.8596,85.96000000000001,31757,0.0665,False,6.65,0,2153,13.88,0.057,34,False,13.879999999999995,56.666666666666664,0,7.435561735589726,0,64.76,Watchlist,2.01
