district_id,district_name,state,year,fingerprint_updates,iris_updates,photo_updates,total_biometric_updates,child_biometric_updates,senior_biometric_updates,avg_biometric_age_days,biometric_freshness_score,biometric_failure_rate,last_update_gap_months,child_refresh_gap_months,anomaly_detected,authentication_success_rate
D0001,Anantapur,Andhra Pradesh,2020,171368,123175,267223,561766,38753,32195,1779,28.84,0.0609,30,16,False,0.9391
D0001,Anantapur,Andhra Pradesh,2021,242130,160779,220404,623313,74679,17473,1021,59.16,0.1336,27,26,True,0.8664
D0001,Anantapur,Andhra Pradesh,2022,56836,36748,204943,298527,74489,13160,2079,16.84,0.1781,43,12,False,0.8219
D0001,Anantapur,Andhra Pradesh,2023,323934,66099,186268,576301,66216,31094,381,84.76,0.194,25,22,False,0.806
D0001,Anantapur,Andhra Pradesh,2024,124303,95169,221252,440724,82252,9802,1156,53.76,0.0261,27,16,True,0.9739
D0001,Anantapur,Andhra Pradesh,2025,290524,123101,69338,482963,83211,12959,1965,21.4,0.1254,18,37,False,0.8746
D0002,Chittoor,Andhra Pradesh,2020,103067,70599,76511,250177,11612,16596,1566,37.36,0.0677,11,34,False,0.9323
D0002,Chittoor,Andhra Pradesh,2021,113107,50080,45837,209024,30470,11325,2318,7.28,0.1019,27,39,False,0.8981
D0002,Chittoor,Andhra Pradesh,2022,74867,65830,87388,228085,20057,8794,2261,9.56,0.1277,32,54,False,0.8723
D0002,Chittoor,Andhra Pradesh,2023,120749,43670,119878,284297,30252,18010,1581,36.76,0.1542,15,12,True,0.8458
D0002,Chittoor,Andhra Pradesh,2024,64608,56418,82696,203722,37803,10444,1427,42.92,0.1267,41,19,False,0.8733
D0002,Chittoor,Andhra Pradesh,2025,56594,52077,112692,221363,30816,11268,1497,40.12,0.1011,12,18,False,0.8989
D0003,East Godavari,Andhra Pradesh,2020,73064,187577,93821,354462,67913,34986,1148,54.08,0.0951,22,15,False,0.9049
D0003,East Godavari,Andhra Pradesh,2021,424152,100655,218060,742867,46294,28108,2460,1.6,0.1385,10,27,False,0.8615
D0003,East Godavari,Andhra Pradesh,2022,385868,66970,161405,614243,54135,48036,2439,2.44,0.1496,11,47,False,0.8504
D0003,East Godavari,Andhra Pradesh,2023,311020,122156,294960,728136,56155,20036,1624,35.04,0.1022,22,54,False,0.8978
D0003,East Godavari,Andhra Pradesh,2024,333667,112033,94532,540232,54878,49087,1943,22.28,0.3012,8,54,False,0.6988
D0003,East Godavari,Andhra Pradesh,2025,170214,174068,350550,694832,95177,34146,1154,53.84,0.0695,24,45,False,0.9305
D0004,Guntur,Andhra Pradesh,2020,205877,44686,216822,467385,32365,8735,642,74.32,0.064,19,26,False,0.936
D0004,Guntur,Andhra Pradesh,2021,71656,87909,95855,255420,28765,15848,1139,54.44,0.0959,22,26,False,0.9041
D0004,Guntur,Andhra Pradesh,2022,149221,56816,84401,290438,52133,31873,474,81.04,0.1537,33,52,False,0.8463
D0004,Guntur,Andhra Pradesh,2023,60733,153636,203440,417809,66983,22719,1340,46.4,0.0737,14,19,False,0.9263
D0004,Guntur,Andhra Pradesh,2024,68924,147788,75356,292068,37350,14820,1933,22.68,0.1852,41,32,False,0.8148
D0004,Guntur,Andhra Pradesh,2025,161956,59916,180252,402124,28800,33461,1828,26.88,0.0686,36,45,False,0.9314
