district_id,district_name,state,year,total_demographic_updates,address_updates,name_updates,dob_updates,mobile_updates,email_updates,gender_updates,update_spike_detected,avg_update_frequency_days,churn_rate
D0001,Anantapur,Andhra Pradesh,2020,209316,79014,28539,8064,51079,26499,836,False,17.44,0.2268
D0001,Anantapur,Andhra Pradesh,2021,216230,99799,29967,14912,43860,37535,621,False,16.88,0.2096
D0001,Anantapur,Andhra Pradesh,2022,175171,54552,11169,3513,58766,17948,505,False,20.84,0.1391
D0001,Anantapur,Andhra Pradesh,2023,511559,75804,24907,14968,83603,39872,2026,True,7.14,0.1435
D0001,Anantapur,Andhra Pradesh,2024,243025,80264,15842,9651,50590,28736,2354,False,15.02,0.208
D0001,Anantapur,Andhra Pradesh,2025,511501,83580,14487,7251,55286,36621,1026,True,7.14,0.2804
D0002,Chittoor,Andhra Pradesh,2020,44333,16582,5547,3272,14493,5243,425,False,82.33,0.1348
D0002,Chittoor,Andhra Pradesh,2021,26039,10343,1585,909,6445,4710,231,False,140.17,0.2647
D0002,Chittoor,Andhra Pradesh,2022,43210,19571,2794,2653,14767,7270,172,False,84.47,0.2114
D0002,Chittoor,Andhra Pradesh,2023,35720,11572,2900,2434,11759,4062,341,False,102.18,0.2156
D0002,Chittoor,Andhra Pradesh,2024,40932,18926,5917,1587,13457,4632,300,False,89.17,0.2194
D0002,Chittoor,Andhra Pradesh,2025,30141,14305,2016,699,9271,4447,260,False,121.1,0.0921
D0003,East Godavari,Andhra Pradesh,2020,102495,43786,9242,5603,25232,15140,834,False,35.61,0.2831
D0003,East Godavari,Andhra Pradesh,2021,116985,44506,11333,7292,39579,13359,437,False,31.2,0.203
D0003,East Godavari,Andhra Pradesh,2022,81633,29814,4660,3345,26887,10065,592,False,44.71,0.2659
D0003,East Godavari,Andhra Pradesh,2023,71831,35593,7776,5726,24187,8774,108,False,50.81,0.1819
D0003,East Godavari,Andhra Pradesh,2024,74045,24693,7127,1628,16162,10483,116,False,49.29,0.1685
D0003,East Godavari,Andhra Pradesh,2025,89799,42549,9249,4317,23491,16322,813,False,40.65,0.2184
D0004,Guntur,Andhra Pradesh,2020,168319,59135,21075,8545,41764,26864,1676,False,21.69,0.2802
D0004,Guntur,Andhra Pradesh,2021,156437,48643,11016,7058,36441,15647,1444,False,23.33,0.2356
D0004,Guntur,Andhra Pradesh,2022,137805,44658,7821,8742,46760,19713,285,False,26.49,0.1372
D0004,Guntur,Andhra Pradesh,2023,284804,67700,19447,4250,32766,31823,493,True,12.82,0.0597
D0004,Guntur,Andhra Pradesh,2024,161357,74301,13574,7527,48622,24347,1412,False,22.62,0.0525
D0004,Guntur,Andhra Pradesh,2025,201966,79200,30069,9895,70291,35436,653,False,18.07,0.298
D0005,Krishna,Andhra Pradesh,2020,36116,15937,3053,737,9409,4459,302,False,101.06,0.2569
D0005,Krishna,Andhra Pradesh,2021,33298,12039,2467,1132,7000,3952,199,False,109.62,0.1543
D0005,Krishna,Andhra Pradesh,2022,86141,21029,6219,2194,11042,4898,423,True,42.37,0.1245
D0005,Krishna,Andhra Pradesh,2023,42611,14183,5467,1165,12580,4788,69,False,85.66,0.0975
D0005,Krishna,Andhra Pradesh,2024,57196,23388,3305,4422,13557,10636,144,False,63.82,0.0533
D0005,Krishna,Andhra Pradesh,2025,48184,21870,6913,3592,15560,9098,134,False,75.75,0.1222
D0006,Kurnool,Andhra Pradesh,2020,265186,119574,25072,14726,80918,31670,1332,False,13.76,0.2137
D0006,Kurnool,Andhra Pradesh,2021,196678,85097,12159,8671,62734,24004,525,False,18.56,0.1025
D0006,Kurnool,Andhra Pradesh,2022,177658,87749,21935,11010,58260,19823,1306,False,20.55,0.2573
D0006,Kurnool,Andhra Pradesh,2023,208946,88603,20429,10173,65858,34028,1399,False,17.47,0.1828
D0006,Kurnool,Andhra Pradesh,2024,239014,111186,28599,18032,77213,37330,1683,False,15.27,0.2048
D0006,Kurnool,Andhra Pradesh,2025,249023,109012,26195,8593,65717,49001,1723,False,14.66,0.2832
D0007,Nellore,Andhra Pradesh,2020,150885,56204,19977,4865,40792,27173,395,False,24.19,0.2709
D0007,Nellore,Andhra Pradesh,2021,121909,53246,6404,7485,30162,12870,790,False,29.94,0.1467
D0007,Nellore,Andhra Pradesh,2022,100383,33069,8010,2548,33791,10099,537,False,36.36,0.1269
D0007,Nellore,Andhra Pradesh,2023,169755,56416,24883,5491,52833,26255,1521,False,21.5,0.1836
D0007,Nellore,Andhra Pradesh,2024,109809,36593,15554,4356,28090,19324,444,False,33.24,0.2345
D0007,Nellore,Andhra Pradesh,2025,142791,67994,7847,5058,38518,17520,1098,False,25.56,0.1559
D0008,Prakasam,Andhra Pradesh,2020,138856,58992,18459,4362,46875,21572,512,False,26.29,0.128
D0008,Prakasam,Andhra Pradesh,2021,184662,84807,24614,14615,58850,29571,748,False,19.77,0.0603
D0008,Prakasam,Andhra Pradesh,2022,186611,72627,9704,4432,48168,29548,966,False,19.56,0.1701
D0008,Prakasam,Andhra Pradesh,2023,178394,61336,10932,9951,48648,18318,789,False,20.46,0.1828
D0008,Prakasam,Andhra Pradesh,2024,152105,64284,19858,5776,52372,23357,998,False,24.0,0.2167
D0008,Prakasam,Andhra Pradesh,2025,163493,63067,9053,3486,41477,21804,733,False,22.33,0.2345
D0009,Srikakulam,Andhra Pradesh,2020,186460,78322,22957,12340,64573,29340,759,False,19.58,0.0671
D0009,Srikakulam,Andhra Pradesh,2021,203331,65854,16832,14018,58884,28336,1069,False,17.95,0.135
D0009,Srikakulam,Andhra Pradesh,2022,200565,63704,25608,14210,45582,28687,499,False,18.2,0.1838
D0009,Srikakulam,Andhra Pradesh,2023,177212,60127,12612,3985,44003,27640,1545,False,20.6,0.1588
D0009,Srikakulam,Andhra Pradesh,2024,208884,92712,29873,10789,49888,21991,1573,False,17.47,0.1257
D0009,Srikakulam,Andhra Pradesh,2025,166962,68935,18375,5004,42902,27000,1624,False,21.86,0.2807
D0010,Visakhapatnam,Andhra Pradesh,2020,41210,13877,3413,2028,8395,5146,192,False,88.57,0.0841
D0010,Visakhapatnam,Andhra Pradesh,2021,41362,19135,3133,2749,10664,6231,360,False,88.25,0.2513
D0010,Visakhapatnam,Andhra Pradesh,2022,28292,8882,3942,1224,6880,4879,241,False,129.01,0.129
D0010,Visakhapatnam,Andhra Pradesh,2023,44108,13593,2424,2532,9239,5842,311,False,82.75,0.0949
D0010,Visakhapatnam,Andhra Pradesh,2024,31487,12327,3071,2108,9840,4587,271,False,115.92,0.1138
D0010,Visakhapatnam,Andhra Pradesh,2025,43572,16365,6453,2090,13890,6110,210,False,83.77,0.2298
D0011,Vizianagaram,Andhra Pradesh,2020,165667,77664,12630,7505,34125,24006,1026,False,22.03,0.1331
